athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bbk_1490c3eb5212,Jadyn,Donovan,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G/F,Guard,Jr.,Jr,"Upper Marlboro, Md.",Upper Marlboro,MD,domestic,Sidwell Friends,0,https://goduke.com/sports/womens-basketball/roster
bbk_71ab5a4570f9,Ashlon,Jackson,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,Sr.,Sr,"China, Texas",China,TX,domestic,Hardin-Jefferson HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_8bb019272e14,Riley,Nelson,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,R-So.,So,"arksburg, Md.",arksburg,MD,domestic,The Bullis School,0,https://goduke.com/sports/womens-basketball/roster
bbk_fb603b25c34c,Emilee,Skinner,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,Fr.,Fr,"Providence, Utah",Providence,UT,domestic,Ridgeline HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_ae9b1cee2cc5,Delaney,Thomas,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,F,Forward,Jr.,Jr,"Charles Town, W.Va.",Charles Town,WV,domestic,St. John's College HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_255f9c3dab33,Jordan,Wood,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,F,Forward,Jr.,Jr,"Chicago, Ill.",Chicago,IL,domestic,Carmel Catholic HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_de496ce269b9,Emma,Koabel,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,Sr.,Sr,"Port Colborne, Ontario",Port Colborne,,international,Niagara Prep,1,https://goduke.com/sports/womens-basketball/roster
bbk_cc410bd6bc10,Arianna,Roberson,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,C,Center,R-Fr.,Fr,"San Antonio, Texas",San Antonio,TX,domestic,Clark HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_92aede516183,Taina,Mair,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,Sr.,Sr,"Boston, Mass.",Boston,MA,domestic,Brooks HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_45663dbc77ac,Anna,Wikstrom,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,Fr.,Fr,"Bergen, Norway",Bergen,,international,Ulriken Eagles,0,https://goduke.com/sports/womens-basketball/roster
bbk_4bacbd039a2e,Toby,Fournier,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,F,Forward,So.,So,"Toronto, Ontario",Toronto,,international,Crestwood Prep,1,https://goduke.com/sports/womens-basketball/roster
bbk_23264854923d,Hailey,Johnson,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,Gr.,Gr,"Coto de Caza, Calif.",Coto de Caza,CA,domestic,JSerra Catholic HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_497cec696a78,Olivia,Martin,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Duke,G,Guard,Sr.,Sr,"Gaithersburg, Md.",Gaithersburg,MD,domestic,Quince Orchard HS,0,https://goduke.com/sports/womens-basketball/roster
bbk_7c438d813256,Laura,Ziegler,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Louisville,F,Forward,Sr.,Sr,"Herlev, Denmark",Herlev,,international,Falkonergaardens Gymnasium,0,https://gocards.com/sports/womens-basketball/roster
bbk_fd6037b3be94,Reyna,Scott,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Louisville,G,Guard,Sr.,Sr,"New York, N.Y.",New York,NY,domestic,Nazareth Regional High School,0,https://gocards.com/sports/womens-basketball/roster
bbk_4e626e61e195,Imari,Berry,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Louisville,G,Guard,So.,So,"arksville, Tenn.",arksville,TN,domestic,arksville,0,https://gocards.com/sports/womens-basketball/roster
bbk_50042efeec54,Mackenly,Randolph,basketball,2025-26,2025-26,D1,Women,Atlantic Coast Conference,Louisville,F,Forward,So.,So,"Los Angeles, Calif.",Los Angeles,CA,domestic,Sierra Canyon,0,https://gocards.com/sports/womens-basketball/roster
