athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bvb_6e197fbbefe3,Monique,Gonzalez,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,Blocker,Player,So.,So,"Corpus Christi, TX",Corpus Christi,TX,domestic,Calallen HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_5086e24e5818,Callie,Freeman,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'9""",Player,Jr.,Jr,"Corpus Christi, TX",Corpus Christi,TX,domestic,Flour Bluff HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_f9caca90d376,Kalani,Vasquez,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'3""",Player,Sr.,Sr,"Richmond, TX",Richmond,TX,domestic,Foster HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_8a87b2bae7b5,Clara,Presmanes-Garate,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'10""",Player,Jr.,Jr,"Santander, Spain",Santander,,international,IES El Astillero,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_5d2062af743a,Emma,Daugherty,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'9""",Player,Sr.,Sr,"Chico, CA",Chico,CA,domestic,Pleasant Valley HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_a4e5cd3793b3,Laura,Betsa,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'10""",Player,Jr.,Jr,"Santander, Spain",Santander,,international,IES Pena Castillo,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_70c807b9f8b9,Presley,Gardner,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'8""",Player,So.,So,"League City, TX",League City,TX,domestic,Clear Creek HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_8a1f408811c4,Gessell,Martinez,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,Blocker,Player,So.,So,"El Paso, TX",El Paso,TX,domestic,Coronado HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_e8499a2cbb70,Liana,Huesca,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'9""",Player,Jr.,Jr,"Glendale, AZ",Glendale,AZ,domestic,Sandra Day O'Connor HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_db6a21675084,Kate,Wozniak,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'10""",Player,Fr.,Fr,"Seguin, TX",Seguin,TX,domestic,Navarro HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_c74bfacedb6e,Elizabeth,Williams,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'9""",Player,Sr.,Sr,"New Braunfels, TX",New Braunfels,TX,domestic,Navarro HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_d7ae32820e6e,Kamryn,Briggs,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,Split,Player,So.,So,"Bakersfield, CA",Bakersfield,CA,domestic,Liberty HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_9baffc201cc0,Kastyn,Hoffman,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'5""",Player,So.,So,"LaVernia, TX",LaVernia,TX,domestic,LaVernia HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_d9d446b38366,Rylan,Pollard,beach_volleyball,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,"5'11""",Player,Sr.,Sr,"Greenwood Village, CO",Greenwood Village,CO,domestic,Cherry Creek HS,0,https://javelinaathletics.com/sports/womens-beach-volleyball/roster/2026
bvb_2d2ce930b525,Adrienne,Saunders,beach_volleyball,2025-26,2026,D2,Women,Sunshine State Conference,Barry,"5'5""",Player,Jr.,Jr,"Phoenix, AZ",Phoenix,AZ,domestic,Horizon HS,0,https://gobarrybucs.com/sports/beach-volleyball/roster/2026
bvb_d57c0bdc6d9d,Sophia,Custodio,beach_volleyball,2025-26,2026,D2,Women,Sunshine State Conference,Barry,"5'8""",Player,Fr.,Fr,"Tampa, FL",Tampa,FL,domestic,Tampa Catholic,0,https://gobarrybucs.com/sports/beach-volleyball/roster/2026
bvb_5ad0118464d3,Isabella,Rangel,beach_volleyball,2025-26,2026,D2,Women,Sunshine State Conference,Barry,"5'7""",Player,Jr.,Jr,"Caracas, Venezuela",Caracas,,international,Cypress Bay (FL) HS,0,https://gobarrybucs.com/sports/beach-volleyball/roster/2026
bvb_37022352970a,Danielle,Hansen,beach_volleyball,2025-26,2026,D2,Women,Sunshine State Conference,Barry,"5'5""",Player,So.,So,"Wonder Lake, Illinois",Wonder Lake,IL,domestic,Woodstock North HS,0,https://gobarrybucs.com/sports/beach-volleyball/roster/2026
bvb_328fd3492046,Gabrielle,Hanner,beach_volleyball,2025-26,2026,D2,Women,Sunshine State Conference,Barry,"5'7""",Player,Fr.,Fr,"Fort Lauderdale, FL",Fort Lauderdale,FL,domestic,Calvary Christian,0,https://gobarrybucs.com/sports/beach-volleyball/roster/2026
bvb_4d0a43c9fa1b,Alexis,Hansen,beach_volleyball,2025-26,2026,D2,Women,Sunshine State Conference,Barry,"5'4""",Player,So.,So,"Wonder Lake, Illinois",Wonder Lake,IL,domestic,Woodstock North HS,0,https://gobarrybucs.com/sports/beach-volleyball/roster/2026
