athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bw_84d05c26d57e,Amber,Longwell,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Jr.,Jr,"Spring, Texas",Spring,TX,domestic,Oak Ridge HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_ba79cae93c9d,Regina,Moreno,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,So.,So,"Zapopan, Mexico",Zapopan,,international,Western Institute,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_aea0ecaa8d4a,Gabrielle,"""Zoe"" Moore",bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Sr.,Sr,"Columbia, SC.",Columbia,SC,domestic,Ridge View HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_fcb69af53138,Jordan,Wingerter,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,So.,So,"Jackson, La.",Jackson,LA,domestic,St. Joseph's Academy,1,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_8c08cfeb26ba,Jenna,Webber,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,So.,So,"Harvest, Ala.",Harvest,AL,domestic,Sparkman HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_bc51f26acc27,Madelynn,Oliva,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Sr.,Sr,"Palm Coast, Fla.",Palm Coast,FL,domestic,Flagler Palm Coast HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_2f15bf6a8754,Savannah,Schneider,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Sr.,Sr,"Niceville, Fla.",Niceville,FL,domestic,Niceville HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_22697ebf4f03,Alexis,Meadows,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Fr.,Fr,"Titusville, Fla.",Titusville,FL,domestic,Titusville HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_df8608fbf6d9,Madison,Colston,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Gr.,Gr,"Pinellas Park, Fla.",Pinellas Park,FL,domestic,Pinellas Park HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_5b0ffda14d7a,Jordan,Shipp,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Gr.,Gr,"Pensacola, Fla.",Pensacola,FL,domestic,Pensacola HS,0,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_0eacb6a65b02,Anella,Tillman,bowling,2025-26,2025-26,D1,Women,American Conference,UAB,,Bowler,Fr.,Fr,"Penn Yan, N.Y.",Penn Yan,NY,domestic,Penn Yan Academy,1,https://uabsports.com/sports/womens-bowling/roster/2025-26
bw_2fa9ab0d997c,Kailynn,Jones,bowling,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,,Bowler,Fy.,Fr,"Red Lion, Pa.",Red Lion,PA,domestic,Red Lion,0,https://auwolves.com/sports/womens-bowling/roster/2025-26
bw_0ca12d435d64,Lacey,Slaymaker,bowling,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,,Bowler,Jr.,Jr,"Conestoga, Pa",Conestoga,PA,domestic,Penn Manor,0,https://auwolves.com/sports/womens-bowling/roster/2025-26
bw_4bf7396acfdd,Madilyn,Jerzak,bowling,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,,Bowler,So.,So,"Elmira, N.Y.",Elmira,NY,domestic,Horseheads,0,https://auwolves.com/sports/womens-bowling/roster/2025-26
bw_51dbfbb2dc92,Elizabeth,DeJesus,bowling,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,,Bowler,So.,So,"Willow Street, Pa",Willow Street,PA,domestic,J.P. McCaskey,0,https://auwolves.com/sports/womens-bowling/roster/2025-26
bw_20de0f03af4a,Mia,Siminitus,bowling,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,,Bowler,Jr.,Jr,"Ewing, N.J.",Ewing,NJ,domestic,Ewing,0,https://auwolves.com/sports/womens-bowling/roster/2025-26
bw_719f31e13a7e,Paige,Aucker,bowling,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,,Bowler,Fy.,Fr,"Beavertown, Pa.",Beavertown,PA,domestic,Midd-West,0,https://auwolves.com/sports/womens-bowling/roster/2025-26
