athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
xc_d85116da8b08,Anna,Angeliki Zannetou,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,Jr.,Jr,"Apostolos, Petros",Apostolos,,international,Pavlos Lyceum High School,0,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_f538a3730512,Lauren,Blyth,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,So.,So,"Newcastle, England",Newcastle,,international,Gosforth Academy,1,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_85e60e2a2073,Danielle,Booker,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,Sr.,Sr,"Memphis, Tenn.",Memphis,TN,domestic,Whitehaven,0,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_4235e6cfe55e,Kaley,Byrd,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,Fr.,Fr,"Bartlett, TN",Bartlett,TN,domestic,Bartlett High School,0,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_d488b5853860,Laura,De Ilano,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,Jr.,Jr,"Barcelona, Spain",Barcelona,,international,Lestonnac,0,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_7f8dbb2dc189,Elen,Skar,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,Fr.,Fr,"Gjerdrun, Norway",Gjerdrun,,international,Wang Toppidrett Romerike High School,0,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_76e0aaf858be,Phoebe,Steel,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,Fr.,Fr,"Torquay, Australia",Torquay,,international,Greelong College High School,0,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_b487ef29b42c,Isabella,Zurita,cross_country,2025-26,2025,D2,Women,Gulf South Conference,Christian Brothers,,Runner,Jr.,Jr,"Cochabamba, Bolivia",Cochabamba,,international,La Salle,0,https://cbubucs.com/sports/womens-cross-country/roster/2025
xc_9a9e98e15b8a,Grace,Alwardt,cross_country,2025-26,2025,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Runner,Jr.,Jr,"Lake Elsinore, Calif.",Lake Elsinore,CA,domestic,,0,https://goldeneaglesports.com/sports/womens-cross-country/roster/2025
xc_d5d9eb8c8688,Abby,Borgerding,cross_country,2025-26,2025,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Runner,Fr.,Fr,"Northfield, Minn.",Northfield,MN,domestic,,0,https://goldeneaglesports.com/sports/womens-cross-country/roster/2025
xc_ee7d1f4be094,Amber,Collins,cross_country,2025-26,2025,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Runner,Fr.,Fr,"Deer Creek, Minn.",Deer Creek,MN,domestic,,0,https://goldeneaglesports.com/sports/womens-cross-country/roster/2025
xc_c0af23fd24ed,Rivyn,DiPadova,cross_country,2025-26,2025,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Runner,Fr.,Fr,"Soldiers Grove, Wis.",Soldiers Grove,WI,domestic,,0,https://goldeneaglesports.com/sports/womens-cross-country/roster/2025
