athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
gym_ab0e77b9394e,Mady,Boyd,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"Tallahassee, Fla.",Tallahassee,FL,domestic,East Ridge,0,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_65cefa3b4795,Kennedy,Cochran,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"Chandler, Ariz.",Chandler,AZ,domestic,Gilbert Christian,0,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_da3c6112f78d,Leigh,Anne Elliott,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"Williamsburg, Va.",Williamsburg,VA,domestic,Liberty University Online Academy,1,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_d2549d3f9e73,Ella,Sloane Griffin,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"Leesburg, Va.",Leesburg,VA,domestic,Loudoun County,0,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_231cdea62e34,Kate,LaCoursiere,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"San Diego, Calif.",San Diego,CA,domestic,Mount Carmel,0,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_9ee66e8ef6b2,Ella,Kate Parker,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"West Monroe, La.",West Monroe,LA,domestic,Cincinnati Christian,0,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_716132b3e29d,Addison,Sarisky,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"Girard, Ohio",Girard,OH,domestic,Hubbard,0,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_db8e2ae350e5,Avery,Schlichting,gymnastics,2025-26,2025-26,D1,Women,Southeastern Conference,Alabama,,UNK,Fr.,Fr,"Belvidere, Ill.",Belvidere,IL,domestic,Rockford Lutheran,0,https://rolltide.com/sports/womens-gymnastics/roster/2025-26
gym_5f5db32fbb8f,Elle,Bragga,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Fr.,Fr,"Peachtree Corners, Ga.",Peachtree Corners,GA,domestic,Oaks Christian,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_93c350b76260,Riley,Carman,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Fr.,Fr,"Etna, Ohio",Etna,OH,domestic,Watkins Memorial H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_4d602c2b4cc1,Olivia,Childs,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,So.,So,"Holly Springs, N.C.",Holly Springs,NC,domestic,Holly Springs H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_3205c85d8a48,Sophie,Derr,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Jr.,Jr,"Frisco, Texas",Frisco,TX,domestic,Lebanon Trail H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_6c569b4a1460,Ainsley,Greever,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Jr.,Jr,"Naperville, Ill.",Naperville,IL,domestic,Neuqua Valley H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_507a9436f025,Jessa,Janicke,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,So.,So,"Maple Grove, Minn.",Maple Grove,MN,domestic,Maple Grove Senior H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_bf420f0fad93,Aubrey,Krohnfeldt,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,So.,So,"Mesa, Ariz.",Mesa,AZ,domestic,Red Mountain H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_52041f6c37cd,Elizabeth,LaRusso,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,R-Sr.,Sr,"Las Vegas, Nev.",Las Vegas,NV,domestic,Odyssey Charter High School,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_d8ce528d5125,Gianna,Lenczner,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Sr.,Sr,"Oak Creek, Wis.",Oak Creek,WI,domestic,Oak Creek H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_685e3b453b28,Sophia,Maisel,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Jr.,Jr,"Houston, Texas",Houston,TX,domestic,Klein Collins H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_0b1f3d81f70c,Abigayle,Martin,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Jr.,Jr,"Bacliff, Texas",Bacliff,TX,domestic,Texas Connections Academy,1,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_f7bddd221340,Delaney,Mead,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Fr.,Fr,"Kingston, Wash.",Kingston,WA,domestic,Kingston H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_1257e0823777,Hillary,Puleo,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Fr.,Fr,"Phoenix, Ariz.",Phoenix,AZ,domestic,Horizon H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_c7de3b194dc6,Amelia,Rock,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,So.,So,"Buckley, Wash.",Buckley,WA,domestic,White River H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_e0cd49b5df9b,Jillian,Silvers,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,So.,So,"Culver City, Calif.",Culver City,CA,domestic,DaVinci Science H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_5c4446607a59,Sadie,Smith,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,So.,So,"Gig Harbor, Wash.",Gig Harbor,WA,domestic,Charles Wright Academy,1,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_3feda2548ac9,Sophia,Stephens,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Sr.,Sr,"Gunter, Texas",Gunter,TX,domestic,Centennial H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_8e5c5d752f8b,Emma,Strom,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Sr.,Sr,"Omaha, Neb.",Omaha,NE,domestic,Omaha Virtual School,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_acf415caa71e,Lily,Tisdale,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Fr.,Fr,"Austin, Texas",Austin,TX,domestic,Anderson H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_5bec30746aa8,Teagan,White,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,So.,So,"Mexico, Mo.",Mexico,MO,domestic,Mexico Senior H.S.,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_7d87d94de24a,Tirzah,Wise,gymnastics,2025-26,2025-26,D1,Women,Big 12 Conference,Arizona,,UNK,Jr.,Jr,"Henderson, Nev.",Henderson,NV,domestic,Seton Home Study School,0,https://arizonawildcats.com/sports/womens-gymnastics/roster/2025-26
gym_e6e03fc58239,Macy,Armstrong,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Jr.,Jr,"Cary, N.C.",Cary,NC,domestic,Green Hope HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_5d3882fe7655,Mikayla,Burton,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,BB,Event Specialist,Sr.,Sr,"Newnan, Ga.",Newnan,GA,domestic,Newnan HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_2e90998150cb,Avery,Byun,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Jr.,Jr,"Rancho Mission Viejo, Calif.",Rancho Mission Viejo,CA,domestic,Tesoro HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_0a69c2bc6e2c,Shaina,Chen,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,UB/FX,Event Specialist,Sr.,Sr,"Claremont, Calif.",Claremont,CA,domestic,Claremont HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_56dfd0789b62,Michaela,DeFrancisco,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,V/BB/FX,Event Specialist,Sr.,Sr,"Guilderland, N.Y.",Guilderland,NY,domestic,Guilderland HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_823f9bf7bcd8,Ella,Fox,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Fr.,Fr,"Concord Township, Ohio",Concord Township,OH,domestic,Riverside HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_84f3b461cf1e,Sarah,Goetter,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,So.,So,"Olyphant, Pa.",Olyphant,PA,domestic,Mid Valley Secondary Center,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_747031f50d63,Lauren,Golioto,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Fr.,Fr,"Cheshire, Conn.",Cheshire,CT,domestic,Hamden Hall Country Day School,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_a2b16d4e884e,Taylor,Gomez,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,So.,So,"Hinsdale, Ill.",Hinsdale,IL,domestic,Hinsdale Central High School,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_be0ee78af07b,Dahlia,Jhaveri,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,So.,So,"Huntington, N.Y.",Huntington,NY,domestic,John H. Glenn HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_1348a08bf6c8,Clara,Jones,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Fr.,Fr,"Eden Prairie, Minn.",Eden Prairie,MN,domestic,Eden Prairie HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_12870e82ffa3,Emily,Joyce,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Sr.,Sr,"Lee's Summit, Mo.",Lee's Summit,MO,domestic,Notre Dame de Sion HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_0e67794c07dc,Anne,MacKenzie,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,So.,So,"Mountain View, Calif.",Mountain View,CA,domestic,Los Altos High School,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_71a835c9ee02,Grace,McLean,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Fr.,Fr,"Houston, Texas",Houston,TX,domestic,Houston Christian,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_028d73b7b617,Victoria,McMillan,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Jr.,Jr,"San Jose, Calif.",San Jose,CA,domestic,Notre Dame HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_38f8d369ce3c,Josie,Moylan,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Jr.,Jr,"Nonesuch, Ky.",Nonesuch,KY,domestic,Woodford County HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_c17d184350c2,Addy,Rothstein,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Jr.,Jr,"New York, N.Y.",New York,NY,domestic,Trevor Day School,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_d7037f4c69e7,Ava,Schenck-Davis,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,So.,So,"Burlington, Mass.",Burlington,MA,domestic,Burlington High School,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_b8aee0ab8a5f,Morgen,Shambo,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,UB/BB,Event Specialist,Sr.,Sr,"Louisville, Colo.",Louisville,CO,domestic,Monarch HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_cfcf9db4a1ca,Nora,Sherman,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,So.,So,"Elmhurst, Ill.",Elmhurst,IL,domestic,York High School,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_2b0976940f7e,Natalia,Tehrani,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,AA,All-Around,Jr.,Jr,"Fremont, Calif.",Fremont,CA,domestic,Irvington HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
gym_700762832eba,Cami,Whitaker,gymnastics,2025-26,2025-26,D1,Women,Ivy League,Cornell,V/BB/FX,Event Specialist,Sr.,Sr,"Addison, Ill.",Addison,IL,domestic,Addison Trail HS,0,https://cornellbigred.com/sports/womens-gymnastics/roster/2025-26
