athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
lax_edddd33da751,Patrick,Jameison,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,G,Goalie,Jr.,Jr,"Devon, Pa.",Devon,PA,domestic,Episcopal High School,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_436a6787839c,Kyle,Colsey,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,A/M,Multi,So.,So,"Ridgefield, Conn.",Ridgefield,CT,domestic,Ridgefield,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_b50efdf11422,Jack,Kiefer,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,D,Defense,Jr.,Jr,"Denver, Colo.",Denver,CO,domestic,Cherry Creek,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_90920a986b60,Austin,Hicks,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,A,Attack,So.,So,"Irvine, Calif.",Irvine,CA,domestic,St. Margaret's Episcopal School,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_bb6d28788355,Henry,Bard,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,D,Defense,Sr.,Sr,"Wynnewood, Pa.",Wynnewood,PA,domestic,Lower Merion,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_c593c828dede,Luke,Warrington,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,M,Midfield,So.,So,"Carmel, Ind.",Carmel,IN,domestic,Culver Academy,1,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_2bcde82d666a,Tomas,Delgado,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,M,Midfield,Jr.,Jr,"Riverside, Conn.",Riverside,CT,domestic,Brunswick School,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_f0fc5b4efa96,Jack,Pappendick,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,M,Midfield,Sr.,Sr,"Cambridge, Mass.",Cambridge,MA,domestic,Buckingham Browne & Nichols School,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_cd2f82ae8abc,Luke,Engelke,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,FO,Faceoff,Sr.,Sr,"Westfield, N.J.",Westfield,NJ,domestic,Pingry School,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_f04152e21313,Michael,Ortlieb,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,A,Attack,Fr.,Fr,"Drexel Hill, Pa.",Drexel Hill,PA,domestic,Malvern Prep,1,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_1feae95f2ca4,Ian,Dykes,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,M,Midfield,So.,So,"San Mateo, Calif.",San Mateo,CA,domestic,Sacred Heart Preparatory,1,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_c46b89a2e309,Nikolas,Menendez,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,D,Defense,So.,So,"Naperville, Ill.",Naperville,IL,domestic,Culver Academy,1,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_ce1a67ba5134,Henry,Blake,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,G,Goalie,Gr.,Gr,"Kentfield, Calif.",Kentfield,CA,domestic,Brewster Academy,1,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_1d3d5bfd92d3,Max,Sloat,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,M,Midfield,Sr.,Sr,"San Mateo, Calif.",San Mateo,CA,domestic,Sacred Heart Prep,1,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_b1da38f0f9eb,Colin,McLane,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,M,Midfield,Jr.,Jr,"Harrison, N.Y.",Harrison,NY,domestic,Taft School,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_eeb2a16f89ff,Benn,Johnston,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,M,Midfield,Jr.,Jr,"Lake Forest, Ill.",Lake Forest,IL,domestic,Avon Old Farms,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_acd7b682e1c3,Thomas,Mencke,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,A,Attack,Gr.,Gr,"Dallas, Texas",Dallas,TX,domestic,Highland Park,0,https://goduke.com/sports/mens-lacrosse/roster/2026
lax_4e9fdd52cb71,Stephen,Finnell,lacrosse,2025-26,2026,D1,Men,Atlantic Coast Conference,Duke,SSDM,Midfield,Jr.,Jr,"Garden City, N.Y.",Garden City,NY,domestic,Garden City,0,https://goduke.com/sports/mens-lacrosse/roster/2026
