athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
soc_28f43d3d7e03,Braeden,Sorenson,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,GK,Goalkeeper,Sr.,Sr,"Ephrata, Pa.",Ephrata,PA,domestic,Ephrata,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_24b4e8b7ff4a,Connor,O'Keefe,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Fr.,Fr,"West Seattle, Wash.",West Seattle,WA,domestic,Kennedy Catholic,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_7db4b501368c,Harvey,Skurek,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Jr.,Jr,"Cheltenham, England",Cheltenham,,international,Cheltenham Town,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_d264d05f38d4,Mika,Wernicke,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Jr.,Jr,"Potsdam, Germany",Potsdam,,international,Kansas Wesleyan,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_fe08e8ae2cb2,Jonah,Wolf,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,M,Midfielder,So.,So,"Benndorf, Germany",Benndorf,,international,SV Gonsenheim,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_a810b56ab82f,Volkan,Celikkol,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Jr.,Jr,"Ankara, Turkey",Ankara,,international,Sener Cakmak,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_900e50343a05,Álvaro,Planas,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,Jr.,Jr,"Valladolid, Spain",Valladolid,,international,Nuestra Señora del Lourdes,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_41bd14cef741,Alex,De Nittis,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,Jr.,Jr,"Dortmund, Germany",Dortmund,,international,,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_914bbce18717,Harry,Elmore,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,M,Midfielder,Fr.,Fr,"Manchester, England",Manchester,,international,,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_35346c3fa244,Gabriel,Mbaki,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Fr.,Fr,"Damascus, Md.",Damascus,MD,domestic,Damascus,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_13b00717db08,Julian,Quiroga,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,M,Midfielder,Fr.,Fr,"Cochabamba, Bolivia",Cochabamba,,international,Clements,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_666563f05abf,Thero,Mitchell III,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,Fr.,Fr,"Bothell, Wash.",Bothell,WA,domestic,Bothell,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_0f601b0f7c0f,Brandon,Napoleon,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,M,Midfielder,Fr.,Fr,"Trenton, N.J.",Trenton,NJ,domestic,The Pennington School,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_a79a259537b0,Andre,Isreal,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,Sr.,Sr,"Clarksburg, Md.",Clarksburg,MD,domestic,Mount Saint Joseph,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_16f502bc7caa,Carson,Krushansky,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Fr.,Fr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,Fox Chapel,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_44752264cd1f,Thiago,Pires,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,M,Midfielder,Gr.,Gr,"Boston, Mass.",Boston,MA,domestic,Spanish River,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_4e2acae01c2b,Robert,Gonnella,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,So.,So,"Munster, Ind.",Munster,IN,domestic,Munster,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_e24d9713489d,Alejandro,Escobar,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Fr.,Fr,"Bogota, Columbia",Bogota,,international,The Woodlands College Park (Texas),0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_060ebbf2116a,Brennan,Libo,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,M,Midfielder,Fr.,Fr,"Marlboro, N.J.",Marlboro,NJ,domestic,Marlboro,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_46258567569f,Bennett,Yeboah,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,Jr.,Jr,"Manchester, Conn.",Manchester,CT,domestic,Civic Leadership,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_1119a6eb882d,Mitchell,Auer,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,R-So.,So,"Lisbon, Ohio",Lisbon,OH,domestic,Crestview,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_9d8073c398a3,Ryan,Seaman,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,D,Defender,Fr.,Fr,"Toms River, N.J.",Toms River,NJ,domestic,Toms River East,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_e5cc79cb93af,Nathan,Katari,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,Fr.,Fr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,North Allegheny,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_aa26cd23055c,Brendan,French,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,F,Forward,So.,So,"Wooster, Ohio",Wooster,OH,domestic,Wooster High School,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_5071433a9ae4,Fisher,Nadeau,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,GK,Goalkeeper,Fr.,Fr,"Kingston, R.I.",Kingston,RI,domestic,,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_bded35108a4b,Diego,Garciarena,soccer,2025-26,2025,D3,Men,Northeast Conference,Saint Francis,GK,Goalkeeper,Jr.,Jr,"Asuncion,Paraguay",Asuncion,,international,,0,https://sfuathletics.com/sports/mens-soccer/roster/2025
soc_95076098f1ee,Cayden,Kruse,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,GK,Goalkeeper,Fr.,Fr,"Lockhart, TX",Lockhart,TX,domestic,Lockhart HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_67b1ea371b06,Joaquin,Sanchez,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,GK,Goalkeeper,So.,So,"San Antonio, TX",San Antonio,TX,domestic,Pieper HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_2774c7844fb2,Carter,Thao,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,MF,Midfielder,So.,So,"Tulsa, OK",Tulsa,OK,domestic,Bixby HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_9dfa4e0d3624,Nick,Munoz,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,MF,Midfielder,Jr.,Jr,"Lubbock, TX",Lubbock,TX,domestic,Lubbock HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_baf1b9edb2e9,Jovani,Burnett,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,MF,Midfielder,So.,So,"Dallas, TX",Dallas,TX,domestic,Sunset HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_aa374d20bfd9,Julian,Trevino,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,D,Defender,So.,So,"Dallas, Texas",Dallas,TX,domestic,Townview Magnet,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_718134e0def3,Abel,Gonzalez,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,MF,Midfielder,Fr.,Fr,"Dallas, TX",Dallas,TX,domestic,North Dallas HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_dcd5965b180f,Cristian,Canas,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,MF,Midfielder,Jr.,Jr,"Houston, TX",Houston,TX,domestic,Klein Forest HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_cda3cc6153f3,Arsany,Ibrahim,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,MF,Midfielder,So.,So,"Houston, TX",Houston,TX,domestic,Clear Springs HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
soc_a0e8d06d51db,Tarik,Kesetovic,soccer,2025-26,2025,D3,Men,American Southwest Conference,McMurry,MF,Midfielder,Fr.,Fr,"Fort Worth, TX",Fort Worth,TX,domestic,Burleson Centennial HS,0,https://mcmurrysports.com/sports/mens-soccer/roster/2025
