athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
sb_ef673ad19d86,Aleigh,Earp,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,INF,Infield,Fr.,Fr,"Virginia Beach, Va.",Virginia Beach,VA,domestic,Landstown,0,https://www.cnusports.com/sports/softball/roster/2026
sb_dda32e77e73d,Candace,Slaw,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,SS / OF,Multi,Jr.,Jr,"Warsaw, Va.",Warsaw,VA,domestic,Rappahannock,0,https://www.cnusports.com/sports/softball/roster/2026
sb_3e1bb120751d,Kinsey,Knapp,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,C / UTIL,Multi,So.,So,"Newport News, Va.",Newport News,VA,domestic,Menchville,0,https://www.cnusports.com/sports/softball/roster/2026
sb_ee5f1791255d,Caroline,Alger,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,P,Pitcher,So.,So,"Staunton, Va.",Staunton,VA,domestic,Buffalo Gap,0,https://www.cnusports.com/sports/softball/roster/2026
sb_c1d38f80145e,Katie,Soughan,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,C,Catcher,Jr.,Jr,"Millburn, N.J.",Millburn,NJ,domestic,Millburn,0,https://www.cnusports.com/sports/softball/roster/2026
sb_ea36dcc72f7f,Kimberly,Jones,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,C / 3B,Multi,So.,So,"Midlothian, Va.",Midlothian,VA,domestic,Midlothian,0,https://www.cnusports.com/sports/softball/roster/2026
sb_cc772f7a8146,Jillian,Sanchez,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,UTIL,Utility,Fr.,Fr,"Stafford, Va.",Stafford,VA,domestic,Mountain View,0,https://www.cnusports.com/sports/softball/roster/2026
sb_9b0e2ff427a6,Brooke,Zuber,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,1B / C / OF,Multi,Jr.,Jr,"Lancaster, Pa.",Lancaster,PA,domestic,Lampeter Strasburg,0,https://www.cnusports.com/sports/softball/roster/2026
sb_b1238838d5e5,Katrina,Swan,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,3B,Infield,Jr.,Jr,"Vienna, Va.",Vienna,VA,domestic,James Madison,0,https://www.cnusports.com/sports/softball/roster/2026
sb_587792b30653,Payton,Lewis,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,1B,Infield,Fr.,Fr,"King William, Va.",King William,VA,domestic,King William,0,https://www.cnusports.com/sports/softball/roster/2026
sb_a0cf9200529c,Haylee,Callahan,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,P,Pitcher,Jr.,Jr,"King George, Va.",King George,VA,domestic,King George,0,https://www.cnusports.com/sports/softball/roster/2026
sb_9f64ac0fed09,Hailey,Shields,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,OF,Outfield,So.,So,"Yorktown, Va.",Yorktown,VA,domestic,York,0,https://www.cnusports.com/sports/softball/roster/2026
sb_d8e12181880d,Alexah,Gordon,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,OF,Outfield,So.,So,"Warrenton, Va.",Warrenton,VA,domestic,Kettle Run,0,https://www.cnusports.com/sports/softball/roster/2026
sb_3ba053e2072f,Natalie,Quinlan,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,1B / C,Multi,Jr.,Jr,"Manassas, Va.",Manassas,VA,domestic,Brentsville,0,https://www.cnusports.com/sports/softball/roster/2026
sb_fd2c6ccd9912,Isabel,Hall,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,1B,Infield,Sr.,Sr,"Middletown, Va.",Middletown,VA,domestic,Sherando,0,https://www.cnusports.com/sports/softball/roster/2026
sb_f4ac4c59d789,Mackenzie,Sowonik,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,C / 3B,Multi,Jr.,Jr,"Warrenville, Ill.",Warrenville,IL,domestic,Wheaton Warrenville South,0,https://www.cnusports.com/sports/softball/roster/2026
sb_cc8550378838,Jaci,Parham,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,UTIL,Utility,Jr.,Jr,"South Boston, Va.",South Boston,VA,domestic,Halifax,0,https://www.cnusports.com/sports/softball/roster/2026
sb_a3051632edce,Hailey,Butler,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,P,Pitcher,So.,So,"Richmond, Va.",Richmond,VA,domestic,Varina,0,https://www.cnusports.com/sports/softball/roster/2026
sb_e0fe02f6b2c2,Cora,Thomas,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,2B,Infield,So.,So,"Fairfield, Vt.",Fairfield,VT,domestic,Bellows Free Academy,1,https://www.cnusports.com/sports/softball/roster/2026
sb_2273d3832d2d,Rachel,Miura,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,3B,Infield,Fr.,Fr,"Clayton, N.C.",Clayton,NC,domestic,Corinth Holdes,0,https://www.cnusports.com/sports/softball/roster/2026
sb_d51c964824e7,Kelsie,Rogers,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,OF,Outfield,Fr.,Fr,"Warsaw, Va.",Warsaw,VA,domestic,Rappahannock,0,https://www.cnusports.com/sports/softball/roster/2026
sb_8e737a0428d0,Cora,Grace Sparger,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,LHP,Pitcher,Fr.,Fr,"Salem, Va.",Salem,VA,domestic,Salem,0,https://www.cnusports.com/sports/softball/roster/2026
sb_eb76b026ce73,Olivia,Miller,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,INF,Infield,Fr.,Fr,"Loudoun County, Va.",Loudoun County,VA,domestic,Loudoun County,0,https://www.cnusports.com/sports/softball/roster/2026
sb_64f7a0f1256a,Simone,Thompson,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,OF / C,Multi,Jr.,Jr,"Germantown, Md.",Germantown,MD,domestic,Good Counsel,0,https://www.cnusports.com/sports/softball/roster/2026
sb_d84163d164d6,Mia,Aiello,softball,2025-26,2026,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,P,Pitcher,Sr.,Sr,"Cary, N.C.",Cary,NC,domestic,Cardinal Gibbons,0,https://www.cnusports.com/sports/softball/roster/2026
sb_a81b1a1ded98,Leilani,Guzman,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,OF,Outfield,Sr.,Sr,"Midlothian, IL",Midlothian,IL,domestic,Bremen,0,https://dustars.com/sports/softball/roster/2026
sb_15496aedbc08,Adison,Hasse,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,OF,Outfield,Fr.,Fr,"Menomonie, WI",Menomonie,WI,domestic,Menomonie,0,https://dustars.com/sports/softball/roster/2026
sb_13754bc74e6f,Kailee,Diaz Randall,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,C/Util,Multi,Jr.,Jr,"Santa Rosa, CA",Santa Rosa,CA,domestic,Montgomery,0,https://dustars.com/sports/softball/roster/2026
sb_87934df15005,Alexandra,Schmelzel,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,P,Pitcher,So.,So,"Rohnert Park, CA",Rohnert Park,CA,domestic,Rancho Cotate,0,https://dustars.com/sports/softball/roster/2026
sb_33ee2d8426da,Isabella,Olmos,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,SS/2B,Infield,So.,So,"Mokena, IL",Mokena,IL,domestic,Lincoln-Way Central,0,https://dustars.com/sports/softball/roster/2026
sb_e604ac287458,Liberty,Rivard,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,OF/P,Multi,Jr.,Jr,"Bradley, IL",Bradley,IL,domestic,Bradley-Bourbannais,0,https://dustars.com/sports/softball/roster/2026
sb_d15933cb9ef0,Tatyana,Colon,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,OF,Outfield,Jr.,Jr,"Melrose Park, IL",Melrose Park,IL,domestic,West Leyden,0,https://dustars.com/sports/softball/roster/2026
sb_f3ab13fb72f4,Charlie,Harris,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,OF,Outfield,Fr.,Fr,"Ridgefield, WA",Ridgefield,WA,domestic,Ridgefield,0,https://dustars.com/sports/softball/roster/2026
sb_05b6cc3efca0,Madisen,Butler,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF,Infield,So.,So,"Eureka, MO",Eureka,MO,domestic,Eureka,0,https://dustars.com/sports/softball/roster/2026
sb_77c10f4f9967,Paytin,Salfi,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF/OF,Multi,Sr.,Sr,"Santa Rosa, CA",Santa Rosa,CA,domestic,Cardinal Newman,0,https://dustars.com/sports/softball/roster/2026
sb_eebb9a04d1c8,Victoria,Tristan,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF,Infield,So.,So,"Winchester, CA",Winchester,CA,domestic,Murrieta Mesa,0,https://dustars.com/sports/softball/roster/2026
sb_37e83ea9edd6,Mariana,Ponce,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF/OF,Multi,So.,So,"North Las Vegas, NV",North Las Vegas,NV,domestic,Cimarron Memorial,0,https://dustars.com/sports/softball/roster/2026
sb_991a23b163f6,Emme,Slavens,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,C/DP,Multi,Jr.,Jr,"Bridgman, MI",Bridgman,MI,domestic,Bridgman,0,https://dustars.com/sports/softball/roster/2026
sb_04398fd63d64,Rhiannon,Rubio,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,P,Pitcher,So.,So,"Lancaster, CA",Lancaster,CA,domestic,Lancaster,0,https://dustars.com/sports/softball/roster/2026
sb_8a34c486f7b7,Kendall,Parker,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,SS/2B,Infield,Fr.,Fr,"Normandy Park, WA",Normandy Park,WA,domestic,Mount Ranier,0,https://dustars.com/sports/softball/roster/2026
sb_6e4570407c41,Alyssa,Craig,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF/OF,Multi,Jr.,Jr,"Elmwood Park, IL",Elmwood Park,IL,domestic,Elmwood Park,0,https://dustars.com/sports/softball/roster/2026
sb_bc762d8eff71,Erin,Kelleher,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF,Infield,Fr.,Fr,"Santa Rosa, CA",Santa Rosa,CA,domestic,Maria Carrillo,0,https://dustars.com/sports/softball/roster/2026
sb_ac1b08080245,Tamaih,Jefferson,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF/OF,Multi,So.,So,"Springfield, IL",Springfield,IL,domestic,Lanphier,0,https://dustars.com/sports/softball/roster/2026
sb_dcaf4808b625,Elise,Gamino,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,P,Pitcher,Sr.,Sr,"Chicago, IL",Chicago,IL,domestic,Marist,0,https://dustars.com/sports/softball/roster/2026
sb_a6a280845a73,Mariah,Forgerson-McCoy,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,1B/3B,Infield,Jr.,Jr,"Hemet, CA",Hemet,CA,domestic,,0,https://dustars.com/sports/softball/roster/2026
sb_32c6c21d0a63,Hannah,Richards,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,P,Pitcher,So.,So,"Poulsbo, WA",Poulsbo,WA,domestic,North Kitsap,0,https://dustars.com/sports/softball/roster/2026
sb_9bfd5172b5bb,Sara,Cornell,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,OF,Outfield,So.,So,"Upland, CA",Upland,CA,domestic,Claremont,0,https://dustars.com/sports/softball/roster/2026
sb_b13701a99dd8,Raegyn,Davis,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,C/INF,Multi,So.,So,Gilbert. AZ,Gilbert. AZ,,international,Perry,0,https://dustars.com/sports/softball/roster/2026
sb_4e12247fd766,Ryley,Davis,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,INF,Infield,Sr.,Sr,"Gilbert, AZ",Gilbert,AZ,domestic,Perry,0,https://dustars.com/sports/softball/roster/2026
sb_e4dd3a8f2afc,Kayla,Amormino,softball,2025-26,2026,D3,Women,Northern Athletics Collegiate Conference,Dominican IL,OF,Outfield,So.,So,"Sonoma, CA",Sonoma,CA,domestic,Sonoma Valley,0,https://dustars.com/sports/softball/roster/2026
sb_865f1d6a9ca5,Kenzie,Boyd,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,OF/P,Multi,Sr.,Sr,"Lurgan, Pa.",Lurgan,PA,domestic,Chambersburg Area,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_81c548e94d29,Tessa,Fredericks,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,P/MIF,Multi,Fr.,Fr,"Easton, Pa.",Easton,PA,domestic,Wilson Area,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_c0308ffe2064,Jillian,Collins,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,OF,Outfield,Jr.,Jr,"Selbyville, Del.",Selbyville,DE,domestic,Indian River,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_f31e7d642d99,Haley,Kley,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,UTL,Utility,Fr.,Fr,"Holland, Pa.",Holland,PA,domestic,Archbishop Wood,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_1014dda9ab1c,Madison,Karns,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,P/MIF,Multi,Jr.,Jr,"New Windsor, Md.",New Windsor,MD,domestic,South Carroll,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_4f36e6d66756,Taylor,Mazzoni,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,UTL,Utility,So.,So,"Warminster, Pa.",Warminster,PA,domestic,William Tennent,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_6311eab1c30f,Angelina,Bresnen,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,2B/C,Multi,Sr.,Sr,"Morrisville, Pa.",Morrisville,PA,domestic,Conwell-Egan,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_6b15d0cac77f,Casey,Derouin,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,P/1B,Multi,Fr.,Fr,"Huntingdon Valley, Pa.",Huntingdon Valley,PA,domestic,Nazareth Academy,1,https://athletics.delval.edu/sports/softball/roster/2026
sb_5b50d7d9a7e7,Morgan,Mecham,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,P,Pitcher,Sr.,Sr,"Blackfoot, Idaho",Blackfoot,ID,domestic,Blackfoot,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_e2585f1c316d,Kathleen,McGeoy,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,OF,Outfield,Sr.,Sr,"Downingtown, Pa.",Downingtown,PA,domestic,Bishop Shanahan,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_967fe6d42963,Gemma,Taggart,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,P/1B,Multi,Fr.,Fr,"Ridley Park, Pa.",Ridley Park,PA,domestic,Ridley,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_179464318ea8,Lydia,Borger,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,OF,Outfield,Fr.,Fr,"Kunkletown, Pa.",Kunkletown,PA,domestic,Pleasant Valley,0,https://athletics.delval.edu/sports/softball/roster/2026
sb_1064a907a2ab,Jillian,Ulozas,softball,2025-26,2026,D3,Women,Middle Atlantic Conference Freedom,Delaware Valley,3B,Infield,Sr.,Sr,"Harvey's Lake, Pa.",Harvey's Lake,PA,domestic,Lake Lehman,0,https://athletics.delval.edu/sports/softball/roster/2026
