athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
glf_b60eefff42b9,Marc,Bofarull Balleste,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Jr.,Jr,"Barcelona, Spain",Barcelona,,international,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_524920e18a7a,Connor,Czirjak,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Jr.,Jr,"Calgary, Alberta",Calgary,,international,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_078fdfc154f4,Holdyn,Evjen,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,So.,So,"Hermantown, Minn.",Hermantown,MN,domestic,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_9e2a2413838b,Jack,Justesen,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,So.,So,"Hawley, Minn.",Hawley,MN,domestic,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_6af327ff7972,Ross,Koerner,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,So.,So,"Grand Forks, N.D.",Grand Forks,ND,domestic,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_10afcc5efaa4,Jaime,Martinez Guimon,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Fr.,Fr,"Getxo, Spain",Getxo,,international,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_61805bbd8e5f,Julian,Nieto,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Sr.,Sr,"Bucaramanga, Colombia",Bucaramanga,,international,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_8ffd1d6195ca,Carson,Shultis,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Sr.,Sr,"Fargo, N.D.",Fargo,ND,domestic,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_91b1bdefbad2,Gannon,Walsh,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Sr.,Sr,"Belgrade, Minn.",Belgrade,MN,domestic,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_d6c529dc547d,Gabe,Weller,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,So.,So,"Alexandria, Minn.",Alexandria,MN,domestic,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_bc951e5e8310,Andrew,Wilhelm,golf,2025-26,2026,D2,Men,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Jr.,Jr,"Fargo, N.D.",Fargo,ND,domestic,,0,https://goldeneaglesports.com/sports/mens-golf/roster/2026
glf_b028046675c1,Joseph,Boone,golf,2025-26,2026,D2,Men,Central Intercollegiate Athletic Association,Virginia Union,"6'1"" 190 lbs",Golfer,Jr.,Jr,"Fort Washington, MD",Fort Washington,MD,domestic,Bishop McNamara HS,0,https://vuusports.com/sports/mens-golf/roster/2026
glf_9dacb662f5ad,Antonio,Garcia,golf,2025-26,2026,D2,Men,Central Intercollegiate Athletic Association,Virginia Union,"5'8"" 169 lbs",Golfer,Fr.,Fr,"Bogota, Columbia",Bogota,,international,Clan Academy,1,https://vuusports.com/sports/mens-golf/roster/2026
glf_ea3e0b32f329,Walker,Johnson,golf,2025-26,2026,D2,Men,Central Intercollegiate Athletic Association,Virginia Union,"6'1"" 210 lbs",Golfer,Fr.,Fr,"Iredell, TX",Iredell,TX,domestic,Iredell HS,0,https://vuusports.com/sports/mens-golf/roster/2026
