athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
glf_fe455e809568,Claire,Berquist,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,R-Jr.,Jr,"Lawrence, KS",Lawrence,KS,domestic,Free State,0,https://lopers.com/sports/womens-golf/roster
glf_7b075f990620,Pella,Broms,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,So.,So,"Linköping, Sweden",Linköping,,international,Birgittaskolan,0,https://lopers.com/sports/womens-golf/roster
glf_18063dc6a8dd,Calie,Dockter,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,Jr.,Jr,"Byron, MN",Byron,MN,domestic,Byron,0,https://lopers.com/sports/womens-golf/roster
glf_309d7ee8fe22,Mia,Farrar,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,Jr.,Jr,"Blue Springs, MO",Blue Springs,MO,domestic,Blue Springs South,0,https://lopers.com/sports/womens-golf/roster
glf_5a5b8985c08e,Paulina,Flores,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,Fr.,Fr,"Santiago de Querétaro, Mexico",Santiago de Querétaro,,international,Exnovo,0,https://lopers.com/sports/womens-golf/roster
glf_da5a452aa515,Liz,Lyons,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,Sr.,Sr,"Olathe, KS",Olathe,KS,domestic,Olathe West,0,https://lopers.com/sports/womens-golf/roster
glf_5619bb77c472,Natalee,Runyan,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,Fr.,Fr,"Andover, KS",Andover,KS,domestic,Kapaun Mt. Carmel Catholic,0,https://lopers.com/sports/womens-golf/roster
glf_7747ceb69908,Kory,Scott,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,Fr.,Fr,"Duncan, OK",Duncan,OK,domestic,Marlow,0,https://lopers.com/sports/womens-golf/roster
glf_214d9b7848d5,Sofia,Wildeman,golf,2025-26,2026,D2,Women,Mid-America Intercollegiate Athletics Association,Nebraska Kearney,,Golfer,Sr.,Sr,"San Antonio, TX",San Antonio,TX,domestic,CT Johnson,0,https://lopers.com/sports/womens-golf/roster
glf_75d511be910d,Diana,Alvarado,golf,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,,Golfer,Jr.,Jr,"Cuenca, Ecuador",Cuenca,,international,Novus,0,https://javelinaathletics.com/sports/womens-golf/roster
glf_6c6aec2a6aeb,Zoe,Dean,golf,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,,Golfer,Sr.,Sr,"Schertz, Texas",Schertz,TX,domestic,,0,https://javelinaathletics.com/sports/womens-golf/roster
glf_69ce6e9177cc,Viviana,Farias,golf,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,,Golfer,Jr.,Jr,"Corpus Christi, Texas",Corpus Christi,TX,domestic,Veterans Memorial High School,0,https://javelinaathletics.com/sports/womens-golf/roster
glf_cd440082da99,Amelie,Marling,golf,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,,Golfer,Fr.,Fr,,,,unknown,,0,https://javelinaathletics.com/sports/womens-golf/roster
glf_ae8398dcc2e4,Amabely,Rodriguez,golf,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,,Golfer,Fr.,Fr,"Mission, TX",Mission,TX,domestic,Mission Veterans Memorial HS,0,https://javelinaathletics.com/sports/womens-golf/roster
glf_62b96f052018,Mekdes,Rozas,golf,2025-26,2026,D2,Women,Lone Star Conference,Texas A&M Kingsville,,Golfer,Sr.,Sr,"Llanes, Spain",Llanes,,international,,,https://javelinaathletics.com/sports/womens-golf/roster
glf_2646eede91fb,Libby,Dulmage,golf,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Sr.,Sr,"Leeds, N.D.",Leeds,ND,domestic,,0,https://goldeneaglesports.com/sports/womens-golf/roster
glf_5968bfa569aa,Nayonika,Kapoor,golf,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Fr.,Fr,"Bangalore, India",Bangalore,,international,,0,https://goldeneaglesports.com/sports/womens-golf/roster
glf_0bc2eaf6ee39,Ainsley,McLain,golf,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Sr.,Sr,"Grafton, N.D.",Grafton,ND,domestic,,0,https://goldeneaglesports.com/sports/womens-golf/roster
glf_4139c00a956f,Victoria,Olson,golf,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Jr.,Jr,"Cook, Minn.",Cook,MN,domestic,,0,https://goldeneaglesports.com/sports/womens-golf/roster
glf_8ab8ea3e0616,Laura,Sitter,golf,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Fr.,Fr,"Medora, N.D.",Medora,ND,domestic,,0,https://goldeneaglesports.com/sports/womens-golf/roster
glf_0b597bf43020,Dani,Tinklenberg,golf,2025-26,2026,D2,Women,Northern Sun Intercollegiate Conference,Minnesota Crookston,,Golfer,Fr.,Fr,"Williston, N.D.",Williston,ND,domestic,,0,https://goldeneaglesports.com/sports/womens-golf/roster
glf_6bf507c25e9c,Brooke,Arhotakis,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Fr.,Fr,,,,unknown,,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_19c36fc84d6e,Olivia,Diamond,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,So.,So,"Philadelphia, Pa.",Philadelphia,PA,domestic,Nazareth Academy,1,https://millersvilleathletics.com/sports/wgolf/roster
glf_02f0b6f3a5b9,Erica,Gerner,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,So.,So,"Hamburg, Pa.",Hamburg,PA,domestic,Hamburg,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_222e1896a6b9,Anabelle,McGowan,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Sr.,Sr,"Woolwich, N.J.",Woolwich,NJ,domestic,Kingsway Regional,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_93abc4c5e728,Lex,Pfeufer,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Sr.,Sr,"DuBois, Pa.",DuBois,PA,domestic,DuBois,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_17893d6c8b02,Rachel,Schuda,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,So.,So,"Downingtown, Pa.",Downingtown,PA,domestic,Downingtown West,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_ee3e124341d4,Ashden,Stitt,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Sr.,Sr,"Hollidaysburg, Pa.",Hollidaysburg,PA,domestic,Hollidaysburg Area,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_a91eedc202e2,Sabrina,Swope,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Jr.,Jr,"Levittown, Pa.",Levittown,PA,domestic,Neshaminy,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_db669026115e,Ashley,Azzaro,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'4""",Golfer,So.,So,"Greer, S.C.",Greer,SC,domestic,Blue Ridge HS,0,https://govalkyries.com/sports/womens-golf/roster
glf_afce91422527,Lillian,Bowman,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'3""",Golfer,So.,So,"Hickory, N.C.",Hickory,NC,domestic,Hickory HS,0,https://govalkyries.com/sports/womens-golf/roster
