athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
sw_2c875cea1987,Joan,Anastasiades,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Fr.,Fr,"Rockaway Beach, NY",Rockaway Beach,NY,domestic,Fontbonne Hall,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_7afb732861af,Kirsten,Argueta,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Sr.,Sr,"Englewood, NJ",Englewood,NJ,domestic,St. Dominic Academy,1,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_324fbeb34dd5,Lacey,Baric,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Fr.,Fr,"Fort Lee, NJ",Fort Lee,NJ,domestic,Fort Lee,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_fffb079832cc,Claire,Bengry,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Jr.,Jr,"Santa Barbara, CA",Santa Barbara,CA,domestic,Santa Barbara,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_a073ef47269e,Mia,Brandenstein,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Jr.,Jr,"West Islip, NY",West Islip,NY,domestic,West Islip,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_25bb47b01370,Emily,Bryant,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free/Fly,Multi,Sr.,Sr,"Hilliard, OH",Hilliard,OH,domestic,Darby,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_7af0bcb58796,Madalynn,Carlson,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Fr.,Fr,"Brooklyn, NY",Brooklyn,NY,domestic,James Madison,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_e28e119b7e50,Kristen,Carroll,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Breast/Free,Multi,Sr.,Sr,"New York, NY",New York,NY,domestic,St. Vincent Ferrer,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_3d4287ecf1d6,Oceana,Elefante,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Sr.,Sr,"Sayville, NY",Sayville,NY,domestic,Sayville,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_711df84c9a9d,Eva,Garcia,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,So.,So,"Rockville Centre, NY",Rockville Centre,NY,domestic,Kellenberg,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_110ab8457e1c,Carolina,Hardy,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Jr.,Jr,"Long Beach, NY",Long Beach,NY,domestic,Long Beach,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_ff256f388a91,Renee,Kelly,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Fr.,Fr,"Queens, NY",Queens,NY,domestic,Leon M. Goldstein,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_cebec87277db,Rebecca,Kmiotek,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Back/Free,Multi,Fr.,Fr,"Lindenhurst, NY",Lindenhurst,NY,domestic,Lindenhurst,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_62a82e3a8541,Alexa,Nolan,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,So.,So,"Queens, NY",Queens,NY,domestic,The Scholars' Academy,1,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_3c88467238d3,Madeline,Powers,swimming,2025-26,2025-26,D3,Women,Skyline Conference,SUNY Maritime,Free,Freestyle,Sr.,Sr,"Atlantic Beach, NY",Atlantic Beach,NY,domestic,Sacred Heart,0,https://maritimeathletics.com/sports/womens-swimming-and-diving/roster/2025-26
sw_9741b50fba58,Nina,Aballea,swimming,2025-26,2025-26,D3,Women,Southern California Intercollegiate Athletic Conference,Pomona-Pitzer,Freestyle/Backstroke Freestyle/Backstroke,Multi,Jr.,Jr,"Nice, France",Nice,,international,International School,0,https://sagehens.com/sports/womens-swimming-and-diving/roster/2025-26
sw_a30c4fc0b3ec,Yuxi,Apel,swimming,2025-26,2025-26,D3,Women,Southern California Intercollegiate Athletic Conference,Pomona-Pitzer,Diving Diving,Diving,Jr.,Jr,"Bethesda, MD",Bethesda,MD,domestic,Walt Whitman High School,0,https://sagehens.com/sports/womens-swimming-and-diving/roster/2025-26
sw_9d14128616ff,Mollie,Appl,swimming,2025-26,2025-26,D3,Women,Southern California Intercollegiate Athletic Conference,Pomona-Pitzer,Fly Fly,Butterfly,So.,So,"Orinda, CA",Orinda,CA,domestic,The College Preparatory School,1,https://sagehens.com/sports/womens-swimming-and-diving/roster/2025-26
sw_f4e708c2b45a,Alanna,Baker,swimming,2025-26,2025-26,D3,Women,Southern California Intercollegiate Athletic Conference,Pomona-Pitzer,Freestyle/Backstroke Freestyle/Backstroke,Multi,Sr.,Sr,"San Anselmo, CA",San Anselmo,CA,domestic,Saint Ignatius College Prep,1,https://sagehens.com/sports/womens-swimming-and-diving/roster/2025-26
