athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ih_c92d66b24878,Louka,Cloutier,,Chicago (USHL),6' 2'',74.0,173,173,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,G,Goaltender,Fr.,Fr,"Sherbrooke, Quebec",Sherbrooke,,international,Chicago (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_8ad730c9b4ff,Kristian,Kostadinski,,Dubuque (USHL),6' 6'',78.0,235,235,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D,Defense,Fr.,Fr,"Göteberg, Sweden",Göteberg,,international,Dubuque (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_a710db6a581a,Teddy,Stiga,,U.S. National Team Development Program (USHL),5' 11'',71.0,178,178,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,So.,So,"Sudbury, Mass.",Sudbury,MA,domestic,U.S. National Team Development Program (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_b2f553d050ff,Drew,Fortescue,,U.S. National Team Development Program (USHL),6' 2'',74.0,194,194,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D,Defense,Jr.,Jr,"Pearl River, N.Y.",Pearl River,NY,domestic,U.S. National Team Development Program (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_36d2bd7d7634,Will,Skahan,,U.S. National Team Development Program (USHL),6' 5'',77.0,223,223,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D,Defense,So.,So,"Woodbury, Minn.",Woodbury,MN,domestic,U.S. National Team Development Program (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_636af53c6157,Lukas,Gustafsson,,Chicago (USHL),5' 11'',71.0,194,194,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D Is Captain (C),Multi,Sr.,Sr,"Atlanta, Ga.",Atlanta,GA,domestic,Chicago (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_96dcd38f79f0,Oscar,Hemming,,Kitchener (OHL),6' 4'',76.0,200,200,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,Fr.,Fr,"Vaasa, Finland",Vaasa,,international,Kitchener (OHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_bffb097d61eb,James,Hagens,,U.S. National Team Development Program (USHL),5' 11'',71.0,193,193,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,So.,So,"Hauppauge, N.Y.",Hauppauge,NY,domestic,U.S. National Team Development Program (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_90b27105889a,Michael,Hagens,,Chicago (USHL),6' 0'',72.0,198,198,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D,Defense,So.,So,"Hauppauge, N.Y.",Hauppauge,NY,domestic,Chicago (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_0c7799f4b863,Jake,Sondreal,,Dubuque (USHL),6' 0'',72.0,188,188,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,So.,So,"Woodbury, Minn.",Woodbury,MN,domestic,Dubuque (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_09bb67fa6471,Landan,Resendes,,Youngstown (USHL),5' 10'',70.0,181,181,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,Fr.,Fr,"Marlborough, Mass.",Marlborough,MA,domestic,Youngstown (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_49f26b861e12,Oskar,Jellvik,,Djurgårdens IF (SHL),5' 10'',70.0,185,185,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,Sr.,Sr,"Täby, Sweden",Täby,,international,Djurgårdens IF (SHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_17bd07ef0b96,Aram,Minnetian,,U.S. National Team Development Program (USHL),6' 0'',72.0,209,209,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D,Defense,Jr.,Jr,"Woodcliff Lake, N.J.",Woodcliff Lake,NJ,domestic,U.S. National Team Development Program (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_900f8a4d70f0,Paul,Davey,,Des Moines (USHL),6' 1'',73.0,178,178,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,Sr.,Sr,"Greenwich, Conn.",Greenwich,CT,domestic,Des Moines (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_1c5db8c15a40,Brady,Berard,,Providence (HEA),6' 1'',73.0,207,207,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F Is Captain (C),Forward,Sr.,Sr,"East Greenwich, R.I.",East Greenwich,RI,domestic,Providence (HEA),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_15e512013ec0,Will,Vote,,U.S. National Team Development Program (USHL),5' 8'',68.0,160,160,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,Jr.,Jr,"Arlington, Mass.",Arlington,MA,domestic,U.S. National Team Development Program (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_fcf697bcdbee,Will,Traeger,,,,,,,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,Sr.,Sr,Mendota,Mendota,,international,Jersey (NCDC),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_38ccb0fd80c2,Andre,Gasseau,,Fargo (USHL),6' 4'',76.0,224,224,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F Is Captain (C),Forward,Sr.,Sr,"Garden Grove, Calif.",Garden Grove,CA,domestic,Fargo (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_ded581563be3,Luka,Radivojevic,,Muskegon (USHL),5' 10'',70.0,173,173,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D,Defense,Fr.,Fr,"Trencín, Slovakia",Trencín,,international,Muskegon (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_2fd62d9c60ad,Nolan,Joyce,,Chicago (USHL),6' 1'',73.0,195,195,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,D,Defense,Jr.,Jr,"Westwood, Mass.",Westwood,MA,domestic,Chicago (USHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_e2e2c2714ab5,Timmy,Delay,,Chilliwack (BCHL),6' 1'',73.0,181,181,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,Jr.,Jr,"Hingham, Mass.",Hingham,MA,domestic,Chilliwack (BCHL),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
ih_ea59e50b9edf,Dean,Letourneau,,St. Andrew's College (PHC),6' 7'',79.0,228,228,ice_hockey,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Boston College,F,Forward,So.,So,"Arnprior, Ontario",Arnprior,,international,St. Andrew's College (PHC),0,https://bceagles.com/sports/mens-ice-hockey/roster/2025-26
