athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
ih_e665e5a9cdcd,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,F,Forward,So.,So,"Belmar, N.J.",Belmar,NJ,domestic,Philly Flyers,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_7169284c2732,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,F,Forward,Fr.,Fr,"Fenton, Mo.",Fenton,MO,domestic,Belle Tire,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_b582d7e18666,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,F,Forward,Fr.,Fr,"Bensalem, Pa.",Bensalem,PA,domestic,Philadelphia Jr. Flyers,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_4e74ca621e9b,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,D,Defense,Sr.,Sr,"Cambridge, Ontario",Cambridge,,international,Cambridge Rivulettes,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_5c26d9c48fb8,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,D,Defense,Jr.,Jr,"Clavet, Saskatchewan",Clavet,,international,Saskatoon Stars,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_33da383ae0f9,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,D,Defense,So.,So,"Jeffersonville, Vt.",Jeffersonville,VT,domestic,Lovell Academy,1,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_73d53bba5dc2,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,D,Defense,So.,So,"Ottawa, Ontario",Ottawa,,international,Ottawa Lady Sens U22/Team Canada U18,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_a1ff471f7186,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,F,Forward,R-Jr.,Jr,"Oshawa, Ontario",Oshawa,,international,Kingston Junior Ice Wolves,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_43c46e1524b5,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,F,Forward,Fr.,Fr,"Calgary, Alberta, Canada",Calgary,,international,Rink Kelowna,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
ih_517f0d770a0c,ice_hockey,2025-26,2025-26,D1,Women,American Athletics Conference,Syracuse,D,Defense,Sr.,Sr,"Rockland, Ontario",Rockland,,international,Nepean Jr. Wildcats,0,https://cuse.com/sports/womens-ice-hockey/roster/2025-26
