athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tri_2e0c2b13b29a,Cayman,Barnes,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Fr.,Fr,"Lawrence, Kan.",Lawrence,KS,domestic,Lawrence Free State,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_e40a7d7db9de,Tylor,Brino-Dean,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Jr.,Jr,"Harrisonburg, Va.",Harrisonburg,VA,domestic,Harrisonburg,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_f1293b8285e4,Tarryn,Brumley,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Jr.,Jr,"McKinney, Texas",McKinney,TX,domestic,McKinney Boyd,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_5521d7efc0ed,Fabienne,Egli,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Fr.,Fr,"Munsingen, Switzerland",Munsingen,,international,,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_5395d5799bf6,Shrebi,Maharjan,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,So.,So,"Lalitpur, Nepal",Lalitpur,,international,St. Xavier's,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_7c8f1863305c,Mayumi,Shinozuka,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Sr.,Sr,"Kuala Lumpur, Malaysia",Kuala Lumpur,,international,Epsom,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_baecfccef607,Ava,Sullivan,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Fr.,Fr,"Kansas City, Mo.",Kansas City,MO,domestic,Park Hill,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_32d49034e28c,Eszter,Vas,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,So.,So,"Tolna, Hungary",Tolna,,international,St. Stephen Catholic,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_255696cfb3c5,Kristina,Vestman,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Jr.,Jr,"Harnosand, Sweden",Harnosand,,international,Umea Elitidrottgymnasium,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_b380e12b8102,Alexis,Workman,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,R-Sr.,Sr,"Springfield, Mo.",Springfield,MO,domestic,Summit Prep,1,https://drurypanthers.com/sports/triathlon/roster/2025
tri_d933063bd899,Anna,Austad,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'5""",Triathlete,Jr.,Jr,"Littleton, Colo.",Littleton,CO,domestic,Columbine H.S.,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
tri_9cf95bc6e718,Chantel,Bickler,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'5""",Triathlete,Jr.,Jr,"Brandon, S.D.",Brandon,SD,domestic,Brandon Valley H.S.,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
