athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
vb_26e8f000ee87,Gwen,Atkins,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,RS,Opposite,Fr.,Fr,"Morristown, N.J.",Morristown,NJ,domestic,Morristown,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_01a0025b3195,Alexa,Chapla,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,DS/L,Libero/DS,Sr.,Sr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,Baldwin,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_8933fde2d733,Nevaeh,Ingram,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,OH,Outside Hitter,Fr.,Fr,"Rocky Mount, N.C.",Rocky Mount,NC,domestic,Northern Nash,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_c07a1ae2465c,Kori,McClure,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,RS,Opposite,Sr.,Sr,"Westerville, Ohio",Westerville,OH,domestic,Westerville North,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_7724db4c3b64,Chandler,Alter,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,DS/L,Libero/DS,Gr.,Gr,"Powder Springs, Ga.",Powder Springs,GA,domestic,McEachern,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_0a658cfb7361,Paloma,Gonzalez Jaramillo,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,Pin/MH,Multi,So.,So,"Coahuila, Mexico",Coahuila,HI,domestic,Bishop Lynch (Texas),0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_8def2bb44d18,Aaliyah,Toppin,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,OH,Outside Hitter,So.,So,"Fort Worth, Texas",Fort Worth,TX,domestic,Fossil Ridge,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_0963f3a17fa1,Korrin,Burns,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,OH,Outside Hitter,Sr.,Sr,"Clarion, Pa.",Clarion,PA,domestic,Clarion Area,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_9cdca0dcfa58,Hailey,Atkins,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,OH/L,Multi,Fr.,Fr,"Morristown, N.J.",Morristown,NJ,domestic,Morristown,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_93e7363c43b8,Ava,Holden,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,MB,Middle Blocker,R-Jr.,Jr,"Macungie, Pa.",Macungie,PA,domestic,Emmaus,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_d26bc2f6f5dd,Alyssa,Irwin,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,MB/RS,Multi,R-So.,So,"Fort Lauderdale, Fla.",Fort Lauderdale,FL,domestic,Monarch,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_c4a69c0d2ddf,Elsa,Richards,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,S,Setter,So.,So,"Wilmington, Mass.",Wilmington,MA,domestic,Essex North Shore Technical and Agricultural,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_94129f7e73ae,Alexandra,Sappia,volleyball,2025-26,2025,D3,Women,Northeast Conference,Saint Francis,S,Setter,R-Jr.,Jr,"West Palm Beach, Fla.",West Palm Beach,FL,domestic,Suncoast Community,0,https://sfuathletics.com/sports/womens-volleyball/roster/2025
vb_c15909cc2d15,Maddie,Hanes,volleyball,2025-26,2025,D3,Women,Coast-To-Coast Athletic Conference,Christopher Newport,DS,Libero/DS,Jr.,Jr,"Chesapeake, Va.",Chesapeake,VA,domestic,Grassfield,0,https://www.cnusports.com/sports/womens-volleyball/roster/2025
