athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tri_2e0c2b13b29a,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Fr.,Fr,"Lawrence, Kan.",Lawrence,KS,domestic,Lawrence Free State,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_e40a7d7db9de,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Jr.,Jr,"Harrisonburg, Va.",Harrisonburg,VA,domestic,Harrisonburg,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_f1293b8285e4,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Jr.,Jr,"McKinney, Texas",McKinney,TX,domestic,McKinney Boyd,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_5521d7efc0ed,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Fr.,Fr,"Munsingen, Switzerland",Munsingen,,international,,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_5395d5799bf6,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,So.,So,"Lalitpur, Nepal",Lalitpur,,international,St. Xavier's,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_7c8f1863305c,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Sr.,Sr,"Kuala Lumpur, Malaysia",Kuala Lumpur,,international,Epsom,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_baecfccef607,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Fr.,Fr,"Kansas City, Mo.",Kansas City,MO,domestic,Park Hill,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_32d49034e28c,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,So.,So,"Tolna, Hungary",Tolna,,international,St. Stephen Catholic,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_255696cfb3c5,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,Jr.,Jr,"Harnosand, Sweden",Harnosand,,international,Umea Elitidrottgymnasium,0,https://drurypanthers.com/sports/triathlon/roster/2025
tri_b380e12b8102,triathlon,2025-26,2025,D2,Women,Great Lakes Valley Conference,Drury,,Triathlete,R-Sr.,Sr,"Springfield, Mo.",Springfield,MO,domestic,Summit Prep,1,https://drurypanthers.com/sports/triathlon/roster/2025
tri_f30d20927a15,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,So.,So,"Newton, Iowa",Newton,IA,domestic,Newton,0,https://athletics.central.edu/sports/triathlon/roster
tri_e595b323eda3,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,Sr.,Sr,"Newton, Iowa",Newton,IA,domestic,Newton,0,https://athletics.central.edu/sports/triathlon/roster
tri_0e99c8a1a688,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,Sr.,Sr,"Castle Rock, Colo.",Castle Rock,CO,domestic,Castle View,0,https://athletics.central.edu/sports/triathlon/roster
tri_83663b43966b,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,Jr.,Jr,"Solon, Iowa",Solon,IA,domestic,Solon,0,https://athletics.central.edu/sports/triathlon/roster
tri_89d249983e28,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,So.,So,"Clinton, Ill.",Clinton,IL,domestic,Clinton,0,https://athletics.central.edu/sports/triathlon/roster
tri_5feb202d1d01,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,Sr.,Sr,"Pella, Iowa",Pella,IA,domestic,Pella,0,https://athletics.central.edu/sports/triathlon/roster
tri_cdf0d66b8077,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,Fr.,Fr,"Coon Valley, Wis.",Coon Valley,WI,domestic,Cashton,0,https://athletics.central.edu/sports/triathlon/roster
tri_ebdcced3c480,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,Sr.,Sr,"Plainfield, Ill.",Plainfield,IL,domestic,Neuqua Valley,0,https://athletics.central.edu/sports/triathlon/roster
tri_4e8eb700d3be,triathlon,2025-26,2025,D3,Women,Independent,Central IA,,Triathlete,Sr.,Sr,"Kansas City, Mo.",Kansas City,MO,domestic,Park Hill,0,https://athletics.central.edu/sports/triathlon/roster
tri_d933063bd899,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'5""",Triathlete,Jr.,Jr,"Littleton, Colo.",Littleton,CO,domestic,Columbine H.S.,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
tri_9cf95bc6e718,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'5""",Triathlete,Jr.,Jr,"Brandon, S.D.",Brandon,SD,domestic,Brandon Valley H.S.,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
tri_13b1000b26cc,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'4""",Triathlete,Sr.,Sr,"Gretna, Neb.",Gretna,NE,domestic,Gretna H.S.,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
tri_829a4f4caabc,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'7""",Triathlete,Jr.,Jr,"Sioux Falls, S.D.",Sioux Falls,SD,domestic,Sioux Falls Christian,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
tri_2c77ca65095f,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'4""",Triathlete,So.,So,"Wayne, Neb.",Wayne,NE,domestic,Wayne H.S.,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
tri_3956f8cffb1d,triathlon,2025-26,2025,D2,Women,Rocky Mountain Athletic Conference,Black Hills State,"5'9""",Triathlete,Fr.,Fr,"Coralville, Iowa",Coralville,IA,domestic,Iowa City West H.S.,0,https://bhsuathletics.com/sports/womens-triathlon/roster/2025
