athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wr_86de854d6128,Aiden,Allen,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,133,133,Freshman,Fr,"Cincinnati, Ohio",Cincinnati,OH,domestic,La Salle High School,0,https://virginiasports.com/sports/wrestling/roster
wr_e79c9f44bafc,Macon,Ayers,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,165,165,Freshman,Fr,"Goodview, Va.",Goodview,VA,domestic,Staunton River,0,https://virginiasports.com/sports/wrestling/roster
wr_4c82bccfb03d,Dom,Baker,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,165/174,165,Senior,Sr,"New Kent, Va.",New Kent,VA,domestic,New Kent,0,https://virginiasports.com/sports/wrestling/roster
wr_b7ca0e8283f7,Steven,Burrell Jr.,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,197,197,Redshirt Sophomore,So,"New Rochelle, N.Y.",New Rochelle,NY,domestic,Greens Farms Academy,1,https://virginiasports.com/sports/wrestling/roster
wr_8bec83803235,Adam,Butler,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,149/157,149,Freshman,Fr,"Avon, Ohio",Avon,OH,domestic,St. Edward,0,https://virginiasports.com/sports/wrestling/roster
wr_9e80acc4bdb6,Kyren,Butler,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,141,141,,UNK,"Copley, Ohio",Copley,OH,domestic,Copley HS,0,https://virginiasports.com/sports/wrestling/roster
wr_7c12b539355e,Ryan,Catka,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,HWT,Other,,UNK,"Brookhaven, Pa.",Brookhaven,PA,domestic,Sun Valley,0,https://virginiasports.com/sports/wrestling/roster
wr_573733d430e1,Wynton,Denkins,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,141/149,141,Junior,Jr,"Perrysburg, Ohio",Perrysburg,OH,domestic,Perrysburg,0,https://virginiasports.com/sports/wrestling/roster
wr_f9505ecc593c,Griffin,Gammell,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,184,184,Senior,Sr,"Waukee, Iowa",Waukee,IA,domestic,Waukee Northwest,0,https://virginiasports.com/sports/wrestling/roster
wr_57738e042f0a,Nick,Hamilton,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,165,165,Senior,Sr,"La Vista, Nebraska",La Vista,NE,domestic,Papillion La Vista,0,https://virginiasports.com/sports/wrestling/roster
wr_9d296677adfb,Rocco,Hayes,wrestling,2025-26,2025-26,D1,Men,Atlantic Coast Conference,Virginia,125,125,Freshman,Fr,"Orland Park, Ill.",Orland Park,IL,domestic,Carl Sandburg,0,https://virginiasports.com/sports/wrestling/roster
